,PrimaryKey,Species,ScientificName,percent
1,1409101138512282014-09-01,ARTR2,Artemisia tridentata,36.66666667
2,1409101138512282014-09-01,ARTR2,Artemisia tridentata,36.66666667
5,14091510480321622014-09-01,ARTR2,Artemisia tridentata,5.333333333
6,14091510480321622014-09-01,ARTR2,Artemisia tridentata,5.333333333
7,14091610532886112014-09-01,ARTR2,Artemisia tridentata,2
8,14091610532886112014-09-01,ARTR2,Artemisia tridentata,2
9,14091613540554222014-09-01,ARTR2,Artemisia tridentata,24.66666667
10,14091613540554222014-09-01,ARTR2,Artemisia tridentata,24.66666667
11,14091710250182932014-09-01,ARTR2,Artemisia tridentata,2
12,14091710250182932014-09-01,ARTR2,Artemisia tridentata,2
13,14091714010783302014-09-01,ARTR2,Artemisia tridentata,0.6666666667
14,14091714010783302014-09-01,ARTR2,Artemisia tridentata,0.6666666667
15,14091810205488972014-09-01,ARTR2,Artemisia tridentata,12
16,14091810205488972014-09-01,ARTR2,Artemisia tridentata,12
17,14090812101193972014-09-01,ARTR2,Artemisia tridentata,0.625
18,14090812101193972014-09-01,ARTR2,Artemisia tridentata,0.625
19,1409021023001202014-09-01,ARTR2,Artemisia tridentata,6.666666667
20,1409021023001202014-09-01,ARTR2,Artemisia tridentata,6.666666667
23,14090310375014222014-09-01,ARTR2,Artemisia tridentata,30
24,14090310375014222014-09-01,ARTR2,Artemisia tridentata,30
25,14090313521964662014-09-01,ARTR2,Artemisia tridentata,53.33333333
26,14090313521964662014-09-01,ARTR2,Artemisia tridentata,53.33333333
27,14052914534336152014-09-01,ARTR2,Artemisia tridentata,14.66666667
28,14052914534336152014-09-01,ARTR2,Artemisia tridentata,14.66666667
29,14060211354634232014-09-01,ARTR2,Artemisia tridentata,4
30,14060211354634232014-09-01,ARTR2,Artemisia tridentata,4
31,14060308380685902014-09-01,ARTR2,Artemisia tridentata,2.666666667
32,14060308380685902014-09-01,ARTR2,Artemisia tridentata,2.666666667
33,14060408201858442014-09-01,ARTR2,Artemisia tridentata,2
34,14060408201858442014-09-01,ARTR2,Artemisia tridentata,2
35,14060508040278022014-09-01,ARTR2,Artemisia tridentata,12.66666667
36,14060508040278022014-09-01,ARTR2,Artemisia tridentata,12.66666667
37,14061006504233352014-09-01,ARTR2,Artemisia tridentata,6
38,14061006504233352014-09-01,ARTR2,Artemisia tridentata,6
39,14061007210266392014-09-01,ARTR2,Artemisia tridentata,0.6666666667
40,14061007210266392014-09-01,ARTR2,Artemisia tridentata,0.6666666667
41,14061212452221242014-09-01,ARTR2,Artemisia tridentata,3.333333333
42,14061212452221242014-09-01,ARTR2,Artemisia tridentata,3.333333333
43,14061310120928432014-09-01,ARTR2,Artemisia tridentata,1.333333333
44,14061310120928432014-09-01,ARTR2,Artemisia tridentata,1.333333333
45,14061314525893152014-09-01,ARTR2,Artemisia tridentata,3.333333333
46,14061314525893152014-09-01,ARTR2,Artemisia tridentata,3.333333333
49,14061710003068302014-09-01,ARTR2,Artemisia tridentata,1.333333333
50,14061710003068302014-09-01,ARTR2,Artemisia tridentata,1.333333333
51,14061806555324002014-09-01,ARTR2,Artemisia tridentata,0.6666666667
52,14061806555324002014-09-01,ARTR2,Artemisia tridentata,0.6666666667
57,14061914464724952014-09-01,ARTR2,Artemisia tridentata,18.66666667
58,14061914464724952014-09-01,ARTR2,Artemisia tridentata,18.66666667
63,14062510153186282014-09-01,ARTR2,Artemisia tridentata,22.66666667
64,14062510153186282014-09-01,ARTR2,Artemisia tridentata,22.66666667
65,14062513351052082014-09-01,ARTR2,Artemisia tridentata,4.666666667
66,14062513351052082014-09-01,ARTR2,Artemisia tridentata,4.666666667
71,14080709544474772014-09-01,ARTR2,Artemisia tridentata,6.666666667
72,14080709544474772014-09-01,ARTR2,Artemisia tridentata,6.666666667
73,1408071350369942014-09-01,ARTR2,Artemisia tridentata,20.66666667
74,1408071350369942014-09-01,ARTR2,Artemisia tridentata,20.66666667
77,14072410454180802014-09-01,ARTR2,Artemisia tridentata,22.66666667
78,14072410454180802014-09-01,ARTR2,Artemisia tridentata,22.66666667
79,1407241407537872014-09-01,ARTR2,Artemisia tridentata,20
80,1407241407537872014-09-01,ARTR2,Artemisia tridentata,20
81,14072510355024292014-09-01,ARTR2,Artemisia tridentata,4
82,14072510355024292014-09-01,ARTR2,Artemisia tridentata,4
83,14070709325347222014-09-01,ARTR2,Artemisia tridentata,22
84,14070709325347222014-09-01,ARTR2,Artemisia tridentata,22
85,14070713180527932014-09-01,ARTR2,Artemisia tridentata,37.33333333
86,14070713180527932014-09-01,ARTR2,Artemisia tridentata,37.33333333
87,1407081004068662014-09-01,ARTR2,Artemisia tridentata,24
88,1407081004068662014-09-01,ARTR2,Artemisia tridentata,24
89,1407091059219792014-09-01,ARTR2,Artemisia tridentata,47.33333333
90,1407091059219792014-09-01,ARTR2,Artemisia tridentata,47.33333333
95,14071410071070302014-09-01,ARTR2,Artemisia tridentata,55.33333333
96,14071410071070302014-09-01,ARTR2,Artemisia tridentata,55.33333333
97,14071414294526062014-09-01,ARTR2,Artemisia tridentata,0.6666666667
98,14071414294526062014-09-01,ARTR2,Artemisia tridentata,0.6666666667
101,14070209192346352014-09-01,ARTR2,Artemisia tridentata,24.66666667
102,14070209192346352014-09-01,ARTR2,Artemisia tridentata,24.66666667
103,14070213253214082014-09-01,ARTR2,Artemisia tridentata,18.66666667
104,14070213253214082014-09-01,ARTR2,Artemisia tridentata,18.66666667
107,1408131439552122014-09-01,ARTR2,Artemisia tridentata,25.33333333
108,1408131439552122014-09-01,ARTR2,Artemisia tridentata,25.33333333
109,1408141025573362014-09-01,ARTR2,Artemisia tridentata,22
110,1408141025573362014-09-01,ARTR2,Artemisia tridentata,22
119,14082009003127252014-09-01,ARTR2,Artemisia tridentata,28.66666667
120,14082009003127252014-09-01,ARTR2,Artemisia tridentata,28.66666667
121,14082610213641122014-09-01,ARTR2,Artemisia tridentata,7.333333333
122,14082610213641122014-09-01,ARTR2,Artemisia tridentata,7.333333333
127,14080810014570682014-09-01,ARTR2,Artemisia tridentata,20
128,14080810014570682014-09-01,ARTR2,Artemisia tridentata,20
129,14081310064336212014-09-01,ARTR2,Artemisia tridentata,26
130,14081310064336212014-09-01,ARTR2,Artemisia tridentata,26
133,14062410281664832014-09-01,ARTR2,Artemisia tridentata,30
134,14062410281664832014-09-01,ARTR2,Artemisia tridentata,30
135,15060310405322532015-09-01,ARTR2,Artemisia tridentata,6
136,15060310405322532015-09-01,ARTR2,Artemisia tridentata,6
139,15060809525986542015-09-01,ARTR2,Artemisia tridentata,2.666666667
140,15060809525986542015-09-01,ARTR2,Artemisia tridentata,2.666666667
205,15101411384817892015-09-01,ARTR2,Artemisia tridentata,2.666666667
206,15101411384817892015-09-01,ARTR2,Artemisia tridentata,2.666666667
243,15090310085114122015-09-01,ARTR2,Artemisia tridentata,4
244,15090310085114122015-09-01,ARTR2,Artemisia tridentata,4
251,15091009415697912015-09-01,ARTR2,Artemisia tridentata,18.66666667
252,15091009415697912015-09-01,ARTR2,Artemisia tridentata,18.66666667
439,16101212055191682016-09-01,ARTR2,Artemisia tridentata,4
440,16101212055191682016-09-01,ARTR2,Artemisia tridentata,4
447,16061509345636942016-09-01,ARTR2,Artemisia tridentata,16
448,16061509345636942016-09-01,ARTR2,Artemisia tridentata,16
449,1606151549373652016-09-01,ARTR2,Artemisia tridentata,14.66666667
450,1606151549373652016-09-01,ARTR2,Artemisia tridentata,14.66666667
451,1606160704131732016-09-01,ARTR2,Artemisia tridentata,5.333333333
452,1606160704131732016-09-01,ARTR2,Artemisia tridentata,5.333333333
453,16061611494457002016-09-01,ARTR2,Artemisia tridentata,2
454,16061611494457002016-09-01,ARTR2,Artemisia tridentata,2
455,16061710024369682016-09-01,ARTR2,Artemisia tridentata,4
456,16061710024369682016-09-01,ARTR2,Artemisia tridentata,4
457,16061713515124232016-09-01,ARTR2,Artemisia tridentata,24.66666667
458,16061713515124232016-09-01,ARTR2,Artemisia tridentata,24.66666667
459,16061814312843282016-09-01,ARTR2,Artemisia tridentata,8.666666667
460,16061814312843282016-09-01,ARTR2,Artemisia tridentata,8.666666667
461,16061907552072772016-09-01,ARTR2,Artemisia tridentata,2.666666667
462,16061907552072772016-09-01,ARTR2,Artemisia tridentata,2.666666667
465,1606280719483222016-09-01,ARTR2,Artemisia tridentata,11.33333333
466,1606280719483222016-09-01,ARTR2,Artemisia tridentata,11.33333333
467,16062810382484672016-09-01,ARTR2,Artemisia tridentata,13.33333333
468,16062810382484672016-09-01,ARTR2,Artemisia tridentata,13.33333333
469,16070207330067392016-09-01,ARTR2,Artemisia tridentata,1.333333333
470,16070207330067392016-09-01,ARTR2,Artemisia tridentata,1.333333333
471,16070307545843942016-09-01,ARTR2,Artemisia tridentata,10.66666667
472,16070307545843942016-09-01,ARTR2,Artemisia tridentata,10.66666667
473,16070310134946722016-09-01,ARTR2,Artemisia tridentata,0.6666666667
474,16070310134946722016-09-01,ARTR2,Artemisia tridentata,0.6666666667
479,16060109544413022016-09-01,ARTR2,Artemisia tridentata,22.66666667
480,16060109544413022016-09-01,ARTR2,Artemisia tridentata,22.66666667
481,16060113523738482016-09-01,ARTR2,Artemisia tridentata,20
482,16060113523738482016-09-01,ARTR2,Artemisia tridentata,20
483,16060207013997192016-09-01,ARTR2,Artemisia tridentata,20
484,16060207013997192016-09-01,ARTR2,Artemisia tridentata,20
487,16053109043626672016-09-01,ARTR2,Artemisia tridentata,0.6666666667
488,16053109043626672016-09-01,ARTR2,Artemisia tridentata,0.6666666667
489,16053111124718772016-09-01,ARTR2,Artemisia tridentata,0.6666666667
490,16053111124718772016-09-01,ARTR2,Artemisia tridentata,0.6666666667
491,16060509025065912016-09-01,ARTR2,Artemisia tridentata,5.333333333
492,16060509025065912016-09-01,ARTR2,Artemisia tridentata,5.333333333
493,16060513302486762016-09-01,ARTR2,Artemisia tridentata,4.666666667
494,16060513302486762016-09-01,ARTR2,Artemisia tridentata,4.666666667
495,16060606420981932016-09-01,ARTR2,Artemisia tridentata,7.333333333
496,16060606420981932016-09-01,ARTR2,Artemisia tridentata,7.333333333
497,16060610115453242016-09-01,ARTR2,Artemisia tridentata,6
498,16060610115453242016-09-01,ARTR2,Artemisia tridentata,6
499,16060210153271472016-09-01,ARTR2,Artemisia tridentata,31.33333333
500,16060210153271472016-09-01,ARTR2,Artemisia tridentata,31.33333333
501,16061415585913872016-09-01,ARTR2,Artemisia tridentata,5.333333333
502,16061415585913872016-09-01,ARTR2,Artemisia tridentata,5.333333333
507,16092012165475752016-09-01,ARTR2,Artemisia tridentata,15.33333333
508,16092012165475752016-09-01,ARTR2,Artemisia tridentata,15.33333333
511,16092210033041622016-09-01,ARTR2,Artemisia tridentata,31.33333333
512,16092210033041622016-09-01,ARTR2,Artemisia tridentata,31.33333333
521,16101809032167262016-09-01,ARTR2,Artemisia tridentata,12
